label,text
Clothing & Accessories,"Checkersbay Boys Cotton Shorts( 3BS00-GR-RB-NA Grey,Royal Blue,Navy) Pack Of 3 Checkersbay Boys Shorts made with good quality fabric. This shorts is suitable for walking, workouts, playing games, shopping and night wear also."
Clothing & Accessories,T-Rock Men's Synthetic Leather Black Shoes
Clothing & Accessories,"Tim Tim Unisex UV Protection Cooling Black Arm Sleeves (Black, Free Size) Full Hand Gloves For Driving, Hiking, Cycling, UV Protection, Riding Gloves - Full Arm Sleeves Gloves For Men Bike & Girls Car Driving Majik sleeves are suitable for adult and youth sports teams, individual athletes, weekend warriors and anyone in need of an arm or elbow brace for tendonitis, arthritis, carpal tunnel, lymphedema or other medical conditions. Sleeves are lightweight and compact, so you can keep them in your car, pack them in your purse or backpack, or simply stuff them in your pockets. Keep them on hand so that your muscles, joints and nerves have the support, warmth and protection that they need on demand. There's no easier way to get through a long day or an intense workout. Our arm protector is perfect for pitchers, golfers, bowlers, catchers and athletes that require full arm, upper arm and bicep support. Each elbow compression sleeve will guard against sprains, easily bends with your arm, and allow for a wide range athletic movement. Premium Feel + Superior Durability meaning these won't tear or rip, yet offer premium softness and wicking ability. Using the most advanced composition of wicking compression material ever made Won't Slip During Play Or Action because a discrete band of soft silicone comfortably grips your skin keeping the sleeve in place during middle of battle, even as sweat accumulates. Full Entire Arm Length will cover your entire arm from wrist to top of your triceps. Suitable for golf , basketball , baseball/ softball/ cricket , runners/ joggers/ cross-country runners /marathon runners , weightlifters , athletes , cyclists / motorcyclists , gym workouts any activities where you need to cool your arms, boost muscle performance, and speed recovery"
Clothing & Accessories,Pantoff Women's Denim Jeans Pantoff Women;s jeans
Clothing & Accessories,"Staron Women's Panda Printed Hooded Crop Sweatshirts Pullover Hoodies ❤️ Unique fashion style, make you beautiful, fashionable and elegant. ❤️ This blouse is very comfortable and soft. ❤️ Fashion casual blouses for daily, going out, party, work, vacation, casual wear. sweet fall,winter,spring look. ❤️ What you get: 1*Women Blouse  NOTE: Please check the measurement chart carefully before you buy the item, We recommend choose one size larger, thanks. Size Detail(Unit:cm/inch):  ♫ Size:S -- US:4 -- UK:8 -- EU:34 -- Bust:104CM/40.9"" -- Shoulder:43CM/17.0"" -- Sleeve:58CM/22.8"" -- Length:45CM/17.7"" ♫ Size:M -- US:6 -- UK:10 -- EU:36 -- Bust:108CM/42.5"" -- Shoulder:44CM/17.4"" -- Sleeve:59CM/23.2"" -- Length:46CM/18.1"" ♫ Size:L -- US:8 -- UK:12 -- EU:38 -- Bust:112CM/44.1"" -- Shoulder:45CM/17.7"" -- Sleeve:60CM/23.6"" -- Length:47CM/18.5"" ♫ Size:XL -- US:10 -- UK:14 -- EU:40 -- Bust:116CM/45.7"" -- Shoulder:46CM/18.1"" -- Sleeve:61CM/24.0"" -- Length:48CM/18.9"" ♫ Size:2XL -- US:12 -- UK:16 -- EU:42 -- Bust:120CM/47.2"" -- Shoulder:47CM/18.5"" -- Sleeve:62CM/24.4"" -- Length:49CM/19.3"" ♫ Size:3XL -- US:14 -- UK:18 -- EU:44 -- Bust:124CM/48.8"" -- Shoulder:48CM/18.9"" -- Sleeve:63CM/24.8"" -- Length:50CM/19.7"" ♫ Size:4XL -- US:16 -- UK:20 -- EU:46 -- Bust:128CM/50.4"" -- Shoulder:49CM/19.3"" -- Sleeve:64CM/25.2"" -- Length:51CM/20.1"" ♫ Size:5XL -- US:18 -- UK:22 -- EU:48 -- Bust:132CM/52.0"" -- Shoulder:50CM/19.7"" -- Sleeve:65CM/25.6"" -- Length:52CM/20.5"""
Clothing & Accessories,"Van Heusen Men's Handkerchief (Pack of 3) Van Heusen- Power Dressing: Perfect for the boardroom and beyond, Van Heusen brings fashion-forward power dressing to today’s multi-faceted professional’s wardrobe. Catering to men and women, Van Heusen represents sophisticated elegance that reflects today’s expression of style. Breaking the norms of conventional nine-to-five dressing, the brand’s range of garments focus on self-expression and individualism. With power-packed details and fine fabrics, Van Heusen has successfully defined the way women and men dress for the corporate world. The collections range from formal wear, party wear, casual wear and ceremonial wear with ranges that spread across shirts to suits for men, and dresses to blazers for women. Modern, minimalist, and timeless, the brand’s clothing is noted for being relevant to its time. Catering to customers who are looking for a personalized experience, Van Heusen’s MyFit is a one stop solution for finding your perfect fit. By choosing from an array of fabrics, fits and sizes, you can now get a perfectly fitted Van Heusen shirt. By selecting from a variety of styling options, from cuff to collar, MyFit enables you to create your own style statement, created by you. Browse through the collection online on Vanheusenindia.com for the latest styles from Van Heusen. From classics to contemporary pieces, you can buy Van Heusen suits online."
Clothing & Accessories,"Leotude Sweatshirts for Men Leotude sweatshirts are here to make your style rule in the minds of people, Ultimate street fashion meticulously crafted with 100% Cotton fabric, bio washed for extra softness. The cosy style will be perfect addition to your fashion apparel on Amazon. Pair it with tracks, Chinos or Jeans for an urban looks, Grab the Leotude collection for your stylish winter collection for your wardrobe."
Clothing & Accessories,CREATURE Basic Black Aviator Uv-Protected Unisex Sunglasses(Lens-Jet-Black||Frame-Black||SUN-004) One of the amazing accessories to enhance your style statement is sunglasses. They are trendy and never really go out of style. Made of polycarbonate material our products are ergonomically designed to give you a comfortable head hugging fit. Thus providing all-day wearing comfort. Sunglasses by Creature have been designed keeping your comfort and care as our first priority. These sunglasses are really light and have been made of high quality frame with Stunning Looks & Flashy Colors. Creature sunglasses give you 100% protection against harmful UVA/UVB rays for your eye care. Stay young.
Electronics,"Robo India ZIF-40 ZIF (Zero insertion force) Socket, 40 Pins Zif (zero insertion force) socket a type of socket for mounting electronic devices that is designed not to stress or damage them during insertion."
Electronics,"Samyu GM60A Multimedia LED Projector Full HD 1080P Support Plug and Play from Smart Phone USB SD Card Laptop, Play Games, Watch Movies in Big Screen Model: GM60ANative Resolution: 800x480Resolution Support: 1080P 1920x1080Main Features:● Support Mulit-screen interactive.（GM60A）● Super color technology delivers superior images for you, color reproduction up to 16.7K which create a richer and more immersive experience.● With native resolution to be 800x480 pixels and the highest resolution support 1080P to make it more clearer.● High brightness can be up to 1000 lumens, 3 times brighter than competitive models.● Picture switch from 16:9 and 4:3 to meet your different demands.● Manual focus adjusting get picture from 34 to 130 inches, and the distance of projection is from 1 to 4 meters.● Comes with keystone correction function to get wonderful pictures.● Hidden focusing design, fashion appearance and highlight texture.● Increase multiple ports, including AV, HDMI, SD card, USB, earphone, directly playing SD card and USB disk files.● Long LED lamp life is over 30000 hours, never need to replace.● Built-in HiFi speaker ( 8 ohms, 2W ).● Convenient operation of functional keys, easy to use.Notice: NOT Recommended for PPT, Word, Excel or business presentation. Ideal for family entertainment, share happiness with friends or roommate, video games, watch movies, play cartons for kids or child education, perfect performance in dark environment. Using USB cable to connect your smartphone/ ipad to the projector, No need HDMI adapter or wireless. More convenient and stable.Laptop and PC can be connected via HDMI to HDMI or VGA cable. AV/SD/USB/HDMI slots make it possible to easily connect a desktop, notebook, tablet, DVD, WII, XBOX, MP5, digital camera to this projector."
Electronics,"Loyal EMPLE® 2 Pack | Sports Armband | Sports Arm Belt | Mobile Case for Running Jogging Sports & Gym Activities Brand: loyal emple 2 Pack Sports Running And Jogging Gym Exercise Running Armband Case Cover Holder For Samsung Note 2 & 3,Iphone6, Iphone 6 Plus, Sony, Intex, LG, Microsoft And All Compatible with Cell phones 5.7 Inch - Multi colour - (6 Month Warranty):   DESCRIPTION:   100% Brand new and high quality   loyal emple is premium Brand British designed and made with heavy duty stitching. Other companies are selling from China, using cheap materials, which result in a far inferior product!   This fully adjustable Samsung Note 2 & 3,Iphone6,Iphone 6 Plus, Sony, Intex, LG, Microsoft And All Compatible with Cellp hones 5.7 Inch Inch Sports Armband is ideal for listening to your music whilst out cycling, walking, jogging, or indoor, whilst exercise at the gym! It is made from a sturdy combination of water resistant, Premium Neoprene and flexible Lycra. Designed to bend and twist freely, whilst staying sweat free. Comfortable and lightweight, this armband can be worn on either arm.   Protect your Phones from scratches and dirt. A reflective silver frame stands out clearly in the dark, keeping you safe on your night time jog.   FEATURES:   Samsung Note 2 & 3,Iphone6,Iphone 6 Plus, Sony, Intex, LG, Microsoft And All Compatible with Cellphones 5.7 Inch   Adjustable Armband gives you the versatility of carrying your iPhone in a variety of ways.   WARRANTY INFORMATION:   loyal emple Provides 6 Month Warranty on all loyal emple Branded Products"
Electronics,"Apple iPad(6th Gen) Tablet (9.7 inch, 32GB, Wi-Fi), Silver Size name:32GB                                                                                 |                            Style name:Wi-Fi                                                                                 |                            Colour:Silver   Apple iPad(6th Gen) Tablet (9.7 inch, 32GB, Wi-Fi), Silver Note: Incase of any issue with the product, kindly contact brand at 800 1009009."
Electronics,"Drums h32 Powerfull Bass,Vibrations,hd Sound,3D Stereo high Volt Party Stylish Waterproof Wireless Bluetooth Mobile/Tablet Speaker DRUMS Wireless Bluetooth Speaker with Rechargeable Battery. Compatible with MP3/4 devices, TF/USB Flash Drive, or any audio device which is Bluetooth compatible or has a 3.5mm jack. You just need to pair you phone or other music player which support Bluetooth with the speaker. After paired, you can enjoy the music with speakers that offer you great sound quality. Moreover, if your device does not have Bluetooth function, you have no need to worry about it. The speaker’s “AUX” mode allows to connect with any audio device, after connected, the speaker play the music of the connected audio device.The microphone with allow you to make and receive hands free call and listen to other party loud through the speaker. Auto connected to call even you are playing music and auto connected to music after call over."
Electronics,"BROLAVIYA ® Iceberg Makers Awei X3 Cell Phone Stand, Gooseneck Flexible Clip Lazy Arm Bracket for Both Mobiles and Tablets Device 4~10.5 inch Mount for Desktop Bedroom, Office, Bathroom, Kitchen Beware of unauthorised sellers selling fake and substandard product s and that will not last longer. Buy genuine BRANDED ICEBERG MAKERS.IN products from ICEBERG MAKERS seller only. Features: - Powerful force, applicable for mobile phone with 4-6.5 inches, Use for iphone7/plus/6/6s plus, galaxy note, android and UP TO 10.5 for tablets. Holder Opening Width: 125~190mm Base opening Width: 5~82 mm. Multifunctional lazy mobile phone support, release your hands. -Memory alloy sold hose PVC package mope than 75% of the total metal,flexble,durable. -Follow ones inclination 360° rotating collet; meet the demand of various angles, convenient and entertainment. -Spiral clamp, lined with non-slip silicone pad,Easy to disassemble,For the desktop / bed below 80mm width. -Humanization design jack. With holes on clamp for convenient charging and connection cables. . Specification: Model: X3 Fit for:Mobile phones & tablets Function:Phone holder Phone holder width:11-20cm Desktop folder width:8cm(max) Material:ABS+PVC+Aluminium alloy Package includes 1 x Lazypod 1 x Universal clamp (Watch and BUY) YOU-TUBE VIDEO: https://www.youtube.com/watch?v=eiOkW_p6wtk"
Electronics,"Nokia 3310 (Dark Blue) Colour:Dark Blue   The design: A modern classic reimagined The new Nokia 3310 revives the legacy of the original 3310 and takes rebirth in 2017. The new design gives the phone a fresh look but keeps the design hues of the old one, which is quite nostalgic. The custom designed user interface brings a new age look to the classic, whilst beautiful push buttons and iconic, shaped design gives the phone the legendary look and makes it a charm to hold in your hand. Colors: Bold and gorgeous Nokia 3310 is made to perfectly fit your style. It comes in four distinct colors: Warm Red and Yellow, both with a gloss finish, and Dark Blue and Grey both with a matte finish. The device looks extremely attractive in your hand and the vibrant colors makes the device an absolute beauty. Features: Rich and Packed The 2.4"" polarized and curved screen window is a joy to watch and provides better readability in sunlight. A 2.0 Megapixel camera with flash makes it a joy to take photos & 16MB internal memory with Micro SD card support up to 32GB makes it easier to store them. The Nokia 3310 comes packed with loads of features. It comes with FM radio to tune into your favorite radio stations and includes MP3 player for listening to your favorite tracks on the go. With support of GSM 900/1800 MHz bands, Dual SIM capability and crystal clear call quality, you can have great conversations. With Bluetooth 3.0 SLAM you can connect to other Bluetooth devices. Micro USB (USB 2.0) and 3.5 mm port is there to add more flexibility. Games: legendary Snake Play the legendary Snake game you used to play with the old one. It's back with a little update that makes it even more fun to play on the color screen. Battery life: Longer and longer This phone is made to last longer and with the removable 1200 mAh battery, it provides an impressive max. talk time Up to 22.1 hours, max. standby time Up to 31 days. You will feel the need to charge your device very less and it will add a lot of convenience to your daily life."
Electronics,"Use Your Mobile Phone as Action Camera Body Chest Mount Harness Strap Mobile Phone Holder Used for Action Sports (Samsung, iPhone Etc) Use Your Mobile Phone as Action Camera Body Chest Mount Harness Strap Mobile Phone Holder Used for Action Sports (Samsung, iPhone Etc)"
Electronics,"C&E CNE683911 12AWG Enhanced Loud Oxygen-Free Bare Copper Speaker Wire Cable (100 Feet/30.48 Metre, Copper) Size:100 Feet                                                                                 |                            Style name:Pure Copper Wire                                                                                 |                            Package Type:12 AWG   100 feet 12AWG Solid Copper, Oxygen-Free Speaker Wire Cable  Overview: Get the most out of your home audio system with high quality, oxygen-free copper speaker wire from Cables & Etc. This wire features two conductors made of high purity (greater than 99.95% pure), oxygen-free copper. One side of the clear outer PVC jacket is marked with a blue stripe to indicate polarity. Main Features: • 100% pure copper wire. • Cable Type: Loudspeaker cable • Gauge: 12AWG. • Length: 100 ft. • Resistance per Meter: 0.0087 ohm. Specifications: Perfect for high end speakers. Good for use with banana plugs. Clear PVC outer jacket. Two conductor cable with blue stripe for matching polarity."
Electronics,"Sabrent USB 3.0 Super Speed 74-In-1 3.5-Inch Internal Flash Media Card Reader/writer with USB 3.0 Port (CR-UIN3) Product DescriptionThe Sabrent CR-UIN3 is a simple PC desktop upgrade that lets you add an Internal Card Reader to the front panel (3.5&Prime;) of your desktop, by connecting to an existing USB 3.0 header on your motherboard. The Sabrent reader is equipped with 7 slots to accommodate all the latest models of flash media on the market today, including the latest SDHC/SDXC, Micro SDHC/SDXC and M2 slots. Sharing the data is quick and easy between media types or to the PC. Plus, you gain easy access to an additional USB 3.0 port on your front panel. The fully-enclosed aluminum housing provides secure installation, while effectively dissipating heat; and two LEDs quickly confirm power and activity. supports fast file transfer speeds of up to 5 Gbps, enabling you to leverage the increased capabilities of new, higher performing memory cards. Features: Compliant with USB 3.0 The 6 card reader slots include all formats of the following flash media types: M2, XD, SD/SDHC/SDXC/MMC, Micro SD/SDHC/SDXC (T-flash) CF/MD, MS (Some card may require adapter) Plus 1 x USB 3.0 port System requirements:Available 20-pin USB 3.0 header on the Motherboard. Windows 2000/XP/VISTA/7/8/8.1/10 (32-bit and 64-bit versions) Mac OS X Linux What's in the box?Sabrent CR-UIN3 Internal USB 3.0 Card Reader.Additional front panel (white color) Set of screws to secure the card reader to the desktop."
Household,"Kisan Kraft KK-TS1000 Manual Sprayer (1 Litre) (Color May Vary) Solvent free, Chemical resistant material. Very thick, 2 mm thick body. One set of O-rings and gaskets provided extra for future use. Comes with continues operation button. Pour Two liter of fluid and pump in for 30 times and adjust the nozzle for either fine mist or for pressure jet.  Very useful for gardening, spraying pesticides, spraying perfumes, cleaning purpose and many house hold works. Picture shows 1 liter but you get two liter item."
Household,Quick Sense (QS-H3): 220v -118 DB Hooter Security Alarm with flasher for Bank Loud Sound Direct Product Siren with Flasher Model NoAVL135 ToneBeep / Siren Tone Operating Voltage220v Current 50 mA Sound level100 dB at 1 Meter Distance Operating Temperature0° C to +60° C Continuous Operation60 Minutes Material of HousingABS 300 ColorBlack Weight120 gm (approximately with packing) Frequency2500Hz (Beep Tone@1Hz) Dimension108mm x 54mm x 31mm x 84mm
Household,"HOMIZE Premium Natural Bamboo Chopstick, 9.5 Inch, Set of 5 Pairs, (Red-Random) Size:Red-Random   ❘❘ ❘❘ ❘❘ HOMIZE Premium Bamboo Chopstick ❘❘ ❘❘ ❘❘Make every stir fry a dining experience to remember or give your takeaway that authentic restaurant feel with these traditional 5 Pairs Bamboo Chopsticks. This pack contains 5 pairs of reusable bamboo chopsticks. Easy to grip and use, they are balanced to fit comfortably in your hand. These smooth wooden chopsticks will provide impeccable service for all your favorite Asian meals. It adds unique look at your table with their Design. They are perfect for restaurants, dining room or the home kitchen. If you want a pleasant and wonderful environment for your dinner, it will be a good choice.How to use chopsticks1. Hold your dominant hand as though you are going to shake hands with someone.2. Put the first chopstick under your thumb, resting it on the palm.3. Hold the second stick between your thumb and forefinger.4. Bend your ring finger and little finger, and tuck the ring finger under the lower chopstick.5. Put your middle finger under the top stick.6. Move the top stick up and down to grip food"
Household,"Story@Home Door Mat Combo Set of 2 for Home, Bathroom, Bedroom, Office, Kitchen & Living Entrances - ECO Series Cotton Blend- 16""x24"" (Machine Washable) - Multicolor Story@Home offers you a beautiful cotton blend doormats to use them at different doors of your home. Very vibrant colours doormats make your doors look attractive to guests. These are long life durable products and keep the dirt and dust away from your door. Surfaces can alter the style of the total living area. This soft and stylish door matt will bring the uniqueness to the overall look. Some brief details Story@Home make your house look classic by inviting Story@Home product at your house. We at Story@Home take almost care about customer's expectations and trust. A consummate commitment to excellence in every aspect of our existence has made Story@Home the brand of choice. Customer centricity, which is at the core of Story@Home value system, propels our drive for outstanding quality and superlative output through consistent innovations and customisations, be it in product development, delivery mechanisms or consumer experience."
Household,"ExcelSteel 4-Quart Professional Stainless Chafing Dish (Multicolour) 583 Features: -Set includes food tray, exterior water/ice tray, tempered glass lid, chafing dish stand with handles, glass lid holder and convertible burner with lid. -4 quart food tray divided into two sections. -Tempered vented glass lid allows easy access to monitor food. -Heavy duty stand to provide stability. -Stay cool handles and knob for easy handling. -Lid color: Clear. Item: -Chafing Dish. Material: -Stainless Steel. Capacity: -2-5 Quarts. Dimensions: -Food tray capacity: 4 Quarts. Overall Height - Top to Bottom: -15.75"". Overall Width - Side to Side: -16"". Overall Depth - Front to Back: -11"". Overall Product Weight: -7.1 lbs."
Household,"Milton Thermosteel Flask with Plain Lid, 1 Litre,Stainless Steel Versatile Liquid Storage and Carrying Solution Get yourself the Milton Thermosteel flask with plain lid and carry your favourite beverages along wherever you go. This flask, constructed from stainless steel, comes with an inner and outer steel lining that helps keep hot and cold beverages as is, for up to 24 hours. Whether you want to carry hot coffee or chilled iced tea to the office or for your day outings, this flask can come to your rescue every time. Its smooth, polished finish also lends a stylish look, so you can flaunt it in front of your friends and colleagues. Lid Doubles Up as a Drinking Cup Unique and useful, the lid of the Milton Thermosteel flask is hollow. You can use it as a cup when you can’t find an alternative and place it back when not needed. The lid comes with a vacuum liner, which secures it in place, keeping the liquids safe inside. Carry the 1000 ml flask easily in your backpack or suitcase since it is leak proof. Its 1000 ml capacity means that you can store large amounts of beverages at once and keep taking sips directly from the flask every time you need a break. But, be sure to place the lid back if you want your coffee or iced tea to remain intact. Rust-Proof to Assure Long Life Pick the Milton Thermosteel flask for your regular office use since the stainless steel construction ensures rust-resistance and a long life. It is also sturdy and easy to maintain. Simply rinse with soap and water and use repeatedly without any worries."
Household,"Primeway® Checkered Microfibre Extremely Absorbent Dish Drying Mat, 240 GSM, 40x45cm, Grey No more need to put down dish towels when hand washing pans and dishes. Cushiony and microfiber-covered, The Original Dish Drying Mat soaks up water while protecting delicate dishes, pots, pans and glassware. It can lay on the counter all by itself or be positioned under a dish drying rack in place of a plastic drain board, or underneath appliances to protect your counter top from scratches and scuffs."
Household,"Luvlap Soft Flannel Baby Blanket, Beige Cat (80cm x 100cm) Color:Beige Cat   Designed for newborns and toddlers alike in white with high contrast colors and engaging patterns, stimulate and delight all the senses. Machine wash cold, tumble dry on low temperature. Do not use bleach. Made with shrink-resistant fabric."
Household,3M IA260166367 Auto Specialty Dashboard Dresser (500 ml) Avoid eye and skin contact. Avoid prolonged breathing of vapour. Wash hands thoroughly after handling. Use in a well ventilated area. Keep container closed when not in use. Do not injest.
Household,"Shark Rocket Ultra-Light Upright Vacuum Cleaner (Upright & Handheld) (Now in India) The Shark Rocket Ultra-Light Upright vacuum Cleaner is not only lightweight and easy to manoeuvre but also incredibly versatile, converting from an upright to a handheld vacuum. Go from floors to stairs, from upholstery to curtains seamlessly for a good all round clean. The Rocket Stick vacuum is great all-rounder. Lightweight, easy to manoeuvre and so versatile. Converting from upright to a handheld vacuum at the push of a button. The ergonomically designed handle features a one touch fingertip control enabling you to go from hard floor to carpet mode seamlessly and the stick design allows for effortless cleaning both above the head and under furniture. With a variety of accessories, including Dusting and Crevice tools you can be sure to clean those usually hard to reach places with ease. Shark Brilliant"
